Linux 5.15.0-1036-aws (ip-172-31-18-66) 	12/22/23 	_x86_64_	(2 CPU)

01:27:15        CPU     %user     %nice   %system   %iowait    %steal     %idle
01:27:16        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:17        all      0.00      0.00      0.50      2.50      0.50     96.50
01:27:18        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:19        all      0.50      0.00      0.00      0.00      0.00     99.50
01:27:20        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:21        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:22        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:23        all      0.00      0.00      0.50      0.00      0.00     99.50
01:27:24        all      1.49      0.00      0.00      0.00      0.00     98.51
01:27:25        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:26        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:27        all      0.50      0.00      0.50      0.00      0.50     98.50
01:27:28        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:29        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:30        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:31        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:32        all      0.50      0.00      0.00      0.00      0.00     99.50
01:27:33        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:34        all      0.50      0.00      1.00      0.00      0.50     98.01
01:27:35        all      0.99      0.00      1.98      6.44      0.50     90.10
01:27:36        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:37        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:38        all      0.00      0.00      1.51      0.50      0.50     97.49
01:27:39        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:40        all      0.50      0.00      0.00      0.00      0.00     99.50
01:27:41        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:42        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:43        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:44        all      1.00      0.00      0.00      0.00      0.00     99.00
01:27:45        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:46        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:47        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:48        all      0.00      0.00      0.50      0.00      0.00     99.50
01:27:49        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:50        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:51        all      0.50      0.00     20.79      2.97      1.98     73.76
01:27:52        all      0.50      0.00      0.00      0.00      0.00     99.50
01:27:53        all      0.00      0.00      0.00      0.50      0.00     99.50
01:27:54        all      0.50      0.00      0.00      0.00      0.50     99.00
01:27:55        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:56        all      0.00      0.00      0.50      3.00      0.00     96.50
01:27:57        all      0.50      0.00      0.00      1.00      0.00     98.50
01:27:58        all      0.00      0.00      0.00      0.00      0.00    100.00
01:27:59        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:00        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:01        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:02        all      0.00      0.00      0.50      0.00      0.00     99.50
01:28:03        all      0.00      0.00      0.00      0.50      0.00     99.50
01:28:04        all      1.01      0.00      0.50      0.50      0.50     97.49
01:28:05        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:06        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:07        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:08        all      0.00      0.00      0.50      0.00      0.50     99.01
01:28:09        all      0.50      0.00      1.00      0.00      0.00     98.51
01:28:10        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:11        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:12        all      1.01      0.00      0.00      1.51      0.00     97.49
01:28:13        all      0.00      0.00      0.99      0.50      0.00     98.51
01:28:14        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:15        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:16        all      0.00      0.00      0.50      0.00      0.00     99.50
01:28:17        all      0.50      0.00      0.00      0.00      0.00     99.50
01:28:18        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:19        all      0.50      0.00      0.00      0.00      0.00     99.50
01:28:20        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:21        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:22        all      0.50      0.00      0.50      3.00      0.50     95.50
01:28:23        all      0.50      0.00      0.00      2.01      0.00     97.49
01:28:24        all      1.00      0.00      0.00      0.00      0.50     98.50
01:28:25        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:26        all      0.50      0.00      0.00      0.00      0.00     99.50
01:28:27        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:28        all      0.00      0.00      0.50      0.00      0.00     99.50
01:28:29        all      0.50      0.00      0.00      0.00      0.00     99.50
01:28:30        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:31        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:32        all      0.50      0.00      0.00      0.00      0.00     99.50
01:28:33        all      0.00      0.00      0.00      0.50      0.00     99.50
01:28:34        all      0.51      0.00      0.00      0.51      0.00     98.99
01:28:35        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:36        all      0.00      0.00      0.00      0.00      0.00    100.00
01:28:37        all      0.00      0.00      0.50      0.00      0.00     99.50

Average:        all      0.19      0.00      0.41      0.32      0.09     99.00
